FID,OBJECTID,MouthLat,MouthLon,delta_name,BasinID,BasinArea,Continent,ChannelSlo,Discharge_,Discharge1,TidalAmp,QRiver_pri,QTide,QWave,RFluvial,Rtide,Rwave,Wave_lat,Wave_lon
40,41,54.312500000000000,18.937500000000000,96213.000000000000000,96213.000000000000000,181526.000000000000000,5.000000000000000,0.000100000000000,1050.000000000000000,0.857308864594000,0.017000000000000,79.000000000000000,0.064502286002700,162.889190673999990,0.326508758902000,0.000266589384166,0.673224651714000,54.000000000000000,19.000000000000000
41,42,45.250000000000000,29.699999999999999,183205.000000000000000,183205.000000000000000,803264.000000000000000,5.000000000000000,0.000060000000000,6420.000000000000000,47.039955139200003,0.035000000000000,2123.000000000000000,15.555424417499999,290.000000000000000,0.874182231402000,0.006405216970180,0.119412551628000,45.000000000000000,30.000000000000000
42,43,36.570833333300001,35.562500000000000,317394.000000000000000,317394.000000000000000,21567.000000000000000,5.000000000000000,0.000130000000000,222.000000000000000,22.471399307300000,0.219000000000000,173.000000000000000,17.511495856600000,58.353908538799999,0.695154878680000,0.070365328194600,0.234479793126000,36.500000000000000,36.000000000000000
43,44,45.595833333300000,47.720833333300000,174392.000000000000000,174392.000000000000000,1761482.000000000000000,5.000000000000000,0.000020000000000,8200.000000000000000,6.808169364930000,0.008000000000000,602.000000000000000,0.499819263133000,1.000000000000000,0.997514797494000,0.000828201181142,0.001657001324740,45.500000000000000,48.000000000000000
44,45,29.995833333299998,48.462499999999999,335510.000000000000000,335510.000000000000000,873434.000000000000000,5.000000000000000,0.000100000000000,1500.000000000000000,3407.417968750000000,0.921000000000000,1680.000000000000000,3407.417968750000000,3.751905202870000,0.329983096536000,0.669279959835000,0.000736943629020,29.500000000000000,48.500000000000000
45,46,24.083333333300001,67.654166666699993,218033.000000000000000,218033.000000000000000,924018.000000000000000,6.000000000000000,0.000120000000000,3171.000000000000000,15340.548828100000000,1.706000000000000,7884.000000000000000,15340.548828100000000,42.709911346399998,0.338845245513000,0.659319131656000,0.001835622830550,24.000000000000000,68.000000000000000
46,47,15.762499999999999,80.837500000000006,311724.000000000000000,311724.000000000000000,259797.000000000000000,6.000000000000000,0.000470000000000,1890.000000000000000,92.647560119600001,0.647000000000000,2028.000000000000000,92.647560119600001,212.636672973999990,0.869161146866000,0.039706932745500,0.091131920388300,15.500000000000000,81.000000000000000
47,48,16.712499999999999,82.245833333299998,299648.000000000000000,299648.000000000000000,315494.000000000000000,6.000000000000000,0.000600000000000,2650.000000000000000,92.274452209499998,0.714000000000000,5387.000000000000000,92.274452209499998,230.460449219000000,0.943476377275000,0.016160899551800,0.040362723173200,16.500000000000000,82.500000000000000
48,49,20.333333333300001,86.658333333300007,276382.000000000000000,276382.000000000000000,136408.000000000000000,6.000000000000000,0.000100000000000,2112.000000000000000,5667.079101559999800,1.027000000000000,1901.000000000000000,5100.907846619999900,230.327743529999990,0.262850950623000,0.705301670975000,0.031847378401800,20.000000000000000,87.000000000000000
49,50,23.225000000000001,90.633333333300001,225914.000000000000000,225914.000000000000000,1625508.000000000000000,6.000000000000000,0.000020000000000,31000.000000000000000,1919731.750000000000000,1.207000000000000,34870.000000000000000,1919731.750000000000000,212.636672973999990,0.017838010727600,0.982053213383000,0.000108775889119,23.000000000000000,91.000000000000000
50,51,16.362500000000001,95.041666666699996,303211.000000000000000,303211.000000000000000,394430.000000000000000,6.000000000000000,0.000020000000000,13558.000000000000000,1185535.625000000000000,1.348000000000000,8119.000000000000000,709939.794909000050000,15.396215438800001,0.011306631125800,0.988671927893000,0.000021440981488,16.000000000000000,95.500000000000000
51,52,13.616666666700000,100.562500000000000,327994.000000000000000,327994.000000000000000,146858.000000000000000,6.000000000000000,0.000030000000000,963.000000000000000,16275.091796900000000,1.458000000000000,349.000000000000000,5898.241990769999600,100.000000000000000,0.054984511463000,0.929260614192000,0.015754874344700,13.500000000000000,101.000000000000000
52,53,9.616666666670000,106.254166667000010,405068.000000000000000,405068.000000000000000,810747.000000000000000,6.000000000000000,0.000030000000000,17345.000000000000000,2047243.875000000000000,2.393000000000000,3090.000000000000000,364715.109470000020000,100.000000000000000,0.008398904827540,0.991329285955000,0.000271809217720,9.500000000000000,106.500000000000000
53,54,20.316666666700002,106.533333333000000,276511.000000000000000,276511.000000000000000,141413.000000000000000,6.000000000000000,0.000050000000000,3784.000000000000000,18468.179687500000000,1.447000000000000,3469.000000000000000,16930.791579299999000,73.222053527800000,0.169442567773000,0.826980916583000,0.003576515643530,20.000000000000000,107.000000000000000
54,55,22.399999999999999,113.258333333000000,237200.000000000000000,237200.000000000000000,395179.000000000000000,6.000000000000000,0.000060000000000,8199.000000000000000,83748.859375000000000,1.331000000000000,2459.000000000000000,25117.507647700000000,24.589437484699999,0.089090661592700,0.910018452172000,0.000890886235750,22.000000000000000,113.500000000000000
55,56,24.699999999999999,118.458333333000000,213107.000000000000000,213107.000000000000000,87.000000000000000,6.000000000000000,0.001965384389890,1.491499135580000,73.912002563499996,2.947000000000000,0.236023344171000,11.696257546100000,309.486022949000020,0.000734318305310,0.036389519222600,0.962876162472000,24.500000000000000,118.500000000000000
56,57,37.770833333299997,119.175000000000000,100571.000000000000000,100571.000000000000000,749972.000000000000000,6.000000000000000,0.001000000000000,1480.000000000000000,12.858062744100000,0.569000000000000,34857.000000000000000,12.858062744100000,61.068206787100003,0.997883644168000,0.000368099678919,0.001748256153180,37.500000000000000,119.500000000000000
57,58,31.941666666700002,120.237500000000000,178016.000000000000000,178016.000000000000000,1879976.000000000000000,6.000000000000000,0.000060000000000,28278.000000000000000,34396.832031300000000,0.504000000000000,15210.000000000000000,18501.160449700001000,24.589437484699999,0.450857030031000,0.548414086290000,0.000728883678798,31.500000000000000,120.500000000000000
