FID,OBJECTID,MouthLat,MouthLon,River,F4,Qav__m3_s_,Qmx__m3_s_,Qs__kg_s_,Qb__kg_s_,Qbmx__kg_s,Yield__T_k,Cs__kg_m3_,L__km_,Q_A__m_yr_,Dgrd__m_km,CN__Pre_da,CN__Modern,DSh__m_,Wa__m_,Ti__m_,AD__km2_,Dmm__mm_,TCw__km_,TCw__Rw,Pm__Pr,φ,TVs_ΘADDS
30,31,37.770833333299997,119.175000000000000,Huanghe,PRC,1480.000000000000000,28603.000000000000000,34857.000000000000000,4.000000000000000,706.000000000000000,1122.000000000000000,23.539999999999999,4845.000000000000000,0.050000000000000,0.001000000000000,5.000000000000000,5.000000000000000,30.000000000000000,1.500000000000000,0.800000000000000,0.000000000000000,7,2.000000000000000,3.300000000000000,0.100000000000000,12.000000000000000,0.000000000000000
31,32,40.720833333300000,360.854166667000020,Ebro,Spain,1400.000000000000000,2475.000000000000000,576.000000000000000,71.000000000000000,126.000000000000000,240.000000000000000,1.040000000000000,930.000000000000000,0.520000000000000,0.000210000000000,4.000000000000000,3.000000000000000,100.000000000000000,1.500000000000000,0.200000000000000,338.000000000000000,0.2,1.900000000000000,1.300000000000000,0.400000000000000,0.280000000000000,3.700000000000000
32,33,60.445500000000003,215.150388999999990,Copper,AL,1240.000000000000000,5440.000000000000000,2218.000000000000000,184.000000000000000,806.000000000000000,1226.000000000000000,1.790000000000000,480.000000000000000,0.630000000000000,0.000600000000000,7.000000000000000,10.000000000000000,140.000000000000000,3.000000000000000,3.400000000000000,1920.000000000000000,0.25,7.000000000000000,7.700000000000000,0.600000000000000,0.120000000000000,1.700000000000000
33,34,54.312500000000000,18.937500000000000,Vistula,Pol,1050.000000000000000,1910.000000000000000,79.000000000000000,6.000000000000000,10.000000000000000,13.000000000000000,0.080000000000000,1091.000000000000000,0.170000000000000,0.000020000000000,5.000000000000000,3.000000000000000,30.000000000000000,2.000000000000000,1.000000000000000,500.000000000000000,–,0.800000000000000,3.400000000000000,11.900000000000000,0.020000000000000,1.100000000000000
34,35,71.533666999999994,136.549916999999990,Yana,Rus,1009.000000000000000,3500.000000000000000,95.000000000000000,6.000000000000000,22.000000000000000,15.000000000000000,0.100000000000000,1073.000000000000000,0.140000000000000,0.000030000000000,14.000000000000000,14.000000000000000,30.000000000000000,1.500000000000000,1.000000000000000,1200.000000000000000,–,3.800000000000000,12.600000000000000,2.800000000000000,0.030000000000000,0.500000000000000
35,36,13.616666666700000,100.562500000000000,Chao Phraya,Thai,963.000000000000000,1800.000000000000000,349.000000000000000,6.000000000000000,11.000000000000000,70.000000000000000,0.360000000000000,1200.000000000000000,0.190000000000000,0.000030000000000,2.000000000000000,3.000000000000000,30.000000000000000,1.500000000000000,2.000000000000000,5500.000000000000000,–,2.500000000000000,14.000000000000000,10.500000000000000,0.060000000000000,0.400000000000000
36,37,-25.170833333299999,33.516666666699997,Limpopo,Moz,835.000000000000000,1425.000000000000000,1046.000000000000000,111.000000000000000,190.000000000000000,82.000000000000000,6.190000000000000,1770.000000000000000,0.060000000000000,0.000540000000000,1.000000000000000,1.000000000000000,100.000000000000000,2.500000000000000,4.000000000000000,800.000000000000000,–,0.800000000000000,1.000000000000000,2.600000000000000,0.050000000000000,2.800000000000000
37,38,31.920833333299999,245.045833332999990,Colorado,CA,694.000000000000000,2182.000000000000000,3803.000000000000000,69.000000000000000,216.000000000000000,194.000000000000000,5.950000000000000,2320.000000000000000,0.030000000000000,0.000400000000000,3.000000000000000,5.000000000000000,70.000000000000000,0.500000000000000,5.000000000000000,634.000000000000000,–,18.100000000000001,36.200000000000003,2.600000000000000,0.150000000000000,16.699999999999999
38,39,41.524999999999999,235.958333333000010,Klamath,CA,473.000000000000000,980.000000000000000,315.000000000000000,15.000000000000000,31.000000000000000,473.000000000000000,0.320000000000000,100.000000000000000,0.680000000000000,0.000130000000000,1.000000000000000,1.000000000000000,100.000000000000000,3.500000000000000,3.000000000000000,28.000000000000000,–,0.100000000000000,1.000000000000000,15.199999999999999,0.020000000000000,22.600000000000001
39,40,-28.629166666700002,16.454166666700001,Orange,SA,442.000000000000000,680.000000000000000,2806.000000000000000,109.000000000000000,168.000000000000000,836.000000000000000,0.990000000000000,1860.000000000000000,0.130000000000000,0.001000000000000,1.000000000000000,1.000000000000000,100.000000000000000,2.500000000000000,1.500000000000000,60.000000000000000,–,0.600000000000000,1.000000000000000,1.100000000000000,0.340000000000000,93.299999999999997
